Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3316835756E+03    0.3343902613E+03   -0.2706685728E+01
    0.3292392192E+03    0.3305126512E+03   -0.1273432001E+01
    0.3269858934E+03    0.3265772165E+03    0.4086769656E+00
    0.3207503283E+03    0.3185271127E+03    0.2223215564E+01
    0.7685966542E+02    0.8770789633E+02   -0.1084823091E+02
    0.9037831757E+02    0.9731595448E+02   -0.6937636906E+01
    0.9507898511E+02    0.1019971561E+03   -0.6918171029E+01
    0.1152563537E+03    0.1065988943E+03    0.8657459362E+01
    0.1250793226E+03    0.1155708800E+03    0.9508442578E+01
    0.1376933148E+03    0.1242451434E+03    0.1344817135E+02
    0.1448486749E+03    0.1326340587E+03    0.1221461618E+02
    0.1532934530E+03    0.1407492091E+03    0.1254424388E+02
    0.1533473073E+03    0.1447075411E+03    0.8639766183E+01
    0.1575849665E+03    0.1486014481E+03    0.8983518439E+01
    0.1621881784E+03    0.1562009542E+03    0.5987224179E+01
    0.8311168116E+02    0.7869878822E+02    0.4412892939E+01
    0.7247803067E+02    0.7761783172E+02   -0.5139801054E+01
    0.6678121200E+02    0.7701288898E+02   -0.1023167697E+02
    0.6475675694E+02    0.7636329786E+02   -0.1160654092E+02
    0.7030410540E+02    0.7492485505E+02   -0.4620749644E+01
    0.6625141588E+02    0.7329133262E+02   -0.7039916740E+01
    0.6514082646E+02    0.7145063341E+02   -0.6309806957E+01
    0.7365959505E+02    0.6938963491E+02    0.4269960145E+01
    0.6708569690E+02    0.6827211505E+02   -0.1186418152E+01
    0.6606186028E+02    0.6709407744E+02   -0.1032217165E+01
    0.7019308169E+02    0.6454843721E+02    0.5644644474E+01
    0.1593068290E+03    0.1549018321E+03    0.4404996885E+01
    0.1468949451E+03    0.1479619615E+03   -0.1067016347E+01
    0.1388089549E+03    0.1442212867E+03   -0.5412331853E+01
    0.1291537303E+03    0.1402893034E+03   -0.1113557314E+02
    0.1235282770E+03    0.1318155772E+03   -0.8287300261E+01
    0.1106958100E+03    0.1224626579E+03   -0.1176684794E+02
    0.9736886424E+02    0.1121407361E+03   -0.1477187187E+02
    0.9411222420E+02    0.1007460384E+03   -0.6633814242E+01
    0.7726231874E+02    0.9460946472E+02   -0.1734714597E+02
    0.6947861574E+02    0.8815797998E+02   -0.1867936424E+02
