Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1513056224E+00    0.1855058899E+00   -0.3420026757E-01
    0.1346825959E+00    0.1804142472E+00   -0.4573165135E-01
    0.1458560428E+00    0.1707641784E+00   -0.2490813558E-01
    0.1545919717E+00    0.1824889502E+00   -0.2789697849E-01
    0.1781381791E+00    0.2180990922E+00   -0.3996091309E-01
    0.2098434920E+00    0.2353847586E+00   -0.2554126658E-01
    0.2335975515E+00    0.2523400523E+00   -0.1874250084E-01
    0.2777107383E+00    0.2853040277E+00   -0.7593289373E-02
    0.3556845611E+00    0.3170751879E+00    0.3860937316E-01
    0.4029868256E+00    0.3477305371E+00    0.5525628850E-01
    0.3891821346E+00    0.3773406660E+00    0.1184146859E-01
    0.4103677372E+00    0.3917742427E+00    0.1859349443E-01
    0.4480318505E+00    0.4059704113E+00    0.4206143921E-01
    0.4593358219E+00    0.4336794351E+00    0.2565638683E-01
    0.3179402455E+00    0.3043789540E+00    0.1356129148E-01
    0.3102337429E+00    0.3246221318E+00   -0.1438838889E-01
    0.3068125379E+00    0.3344186315E+00   -0.2760609365E-01
    0.3029599096E+00    0.3440095133E+00   -0.4104960371E-01
    0.3140799395E+00    0.3626054913E+00   -0.4852555185E-01
    0.3409530845E+00    0.3804687736E+00   -0.3951568907E-01
    0.3660323783E+00    0.3976529967E+00   -0.3162061840E-01
    0.3946178759E+00    0.4142072614E+00   -0.1958938545E-01
    0.4298996304E+00    0.4222623797E+00    0.7637250774E-02
    0.4491178787E+00    0.4301766017E+00    0.1894127700E-01
    0.4517514088E+00    0.4456023970E+00    0.6149011809E-02
    0.1592238765E+00    0.1969995184E+00   -0.3777564187E-01
    0.2102269710E+00    0.2307709352E+00   -0.2054396424E-01
    0.2116025279E+00    0.2471613234E+00   -0.3555879547E-01
    0.2338955183E+00    0.2632368095E+00   -0.2934129118E-01
    0.2688141384E+00    0.2944859384E+00   -0.2567179992E-01
    0.3126505444E+00    0.3245993779E+00   -0.1194883350E-01
    0.3424241728E+00    0.3536512740E+00   -0.1122710128E-01
    0.3826141023E+00    0.3817095889E+00    0.9045133585E-03
    0.4122722955E+00    0.3953858588E+00    0.1688643664E-01
    0.4440677561E+00    0.4088367368E+00    0.3523101933E-01
    0.4524044644E+00    0.4350901426E+00    0.1731432174E-01
Prediction RMSE and MaxAE:         0.0293655901        0.0828819267
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.4311771491E+00    0.4065988040E+00    0.2457834512E-01
    0.2780862305E+00    0.2767777788E+00    0.1308451691E-02
    0.2863966357E+00    0.2929407944E+00   -0.6544158736E-02
    0.4041564535E+00    0.3708952819E+00    0.3326117158E-01
    0.4080844591E+00    0.3666959506E+00    0.4138850847E-01
    0.2714353627E+00    0.2762027719E+00   -0.4767409175E-02
    0.2872237083E+00    0.2927228719E+00   -0.5499163653E-02
    0.2527832565E+00    0.2333092143E+00    0.1947404226E-01
    0.2511563255E+00    0.2457846560E+00    0.5371669446E-02
    0.2186514932E+00    0.2385036944E+00   -0.1985220113E-01
    0.2151500840E+00    0.1898754494E+00    0.2527463462E-01
    0.2188755888E+00    0.1958097115E+00    0.2306587726E-01
    0.4440869345E+00    0.4347033898E+00    0.9383544639E-02
