,formula,C_11,C_12,C_13,C_14,C_15,C_16,C_21,C_22,C_23,C_24,C_25,C_26,C_31,C_32,C_33,C_34,C_35,C_36,C_41,C_42,C_43,C_44,C_45,C_46,C_51,C_52,C_53,C_54,C_55,C_56,C_61,C_62,C_63,C_64,C_65,C_66,K,G,E,v
12,Nb8Mo48W8,424.64849999999996,172.1945,185.1685,5.0312,30.0959,4.571,172.5834,417.04089999999997,192.3903,16.9447,-15.987100000000002,-15.703,185.034,192.72070000000002,402.8456,-20.7182,-12.6956,9.330200000000001,4.043699999999999,19.3339,-20.9242,123.8806,10.1876,-16.357300000000002,31.6505,-16.416900000000002,-12.6417,10.9197,112.8957,5.381600000000001,4.9586,-15.5221,9.8956,-15.0905,4.4567,109.9402,260.4490666666666,115.66202759777963,302.24505600193515,0.30658722780222725
13,Nb8Mo8W48,472.38239999999996,193.0837,203.7894,3.0049,22.8983,3.1429,195.4364,466.13190000000003,206.05349999999999,10.3368,-15.1505,-14.8058,202.6345,205.5319,462.7395,-17.9016,-13.7726,5.735799999999999,4.3363,9.283,-19.515700000000002,138.92149999999998,4.9203,-12.8995,20.8931,-12.2504,-11.766,6.2773,132.50730000000001,1.4936,3.6696,-14.794300000000002,6.5280000000000005,-14.405600000000002,1.7068999999999999,123.7524,289.67855555555553,132.25645769138555,344.36177840056155,0.3018713203559185
14,Nb8V48Mo8,248.06350000000003,154.57729999999998,164.8403,0.9544,18.3783,7.881100000000001,152.8529,244.2339,165.5535,13.9423,-11.7366,-14.4726,164.0532,167.25039999999998,243.02100000000002,-15.919999999999998,-6.963800000000001,6.1716999999999995,1.2010999999999998,14.3654,-16.665,51.4097,3.0939,-6.859,16.9772,-10.7026,-7.573,4.3721,47.050799999999995,1.3699999999999999,9.2189,-14.437299999999999,7.6488,-7.8819,2.4853,32.9191,189.4734,42.95367200277261,119.80754796030774,0.39461357288119975
15,Nb8V48W8,249.75709999999998,162.4495,168.5285,1.4413,18.666,-0.0185,163.34539999999998,248.61039999999997,169.9355,11.5688,-10.8826,-12.955400000000001,166.6797,172.50830000000002,241.67530000000002,-13.5609,-8.4436,6.6685,2.3166,9.5705,-13.934899999999999,49.0882,0.6875,-7.580500000000001,18.270699999999998,-8.6256,-6.7893,1.3748,44.4135,-1.3161,1.1652,-13.5417,7.9174999999999995,-10.357099999999999,2.3643,29.3216,193.5410888888889,40.50309915583109,113.58578400149479,0.4021863310321804
16,Nb8V8Mo48,388.7294,161.8921,170.87439999999998,2.8824,24.424500000000002,13.517900000000001,160.6298,383.873,179.2867,16.1269,-15.5983,-16.176499999999997,171.36169999999998,179.877,378.207,-19.4828,-10.529300000000001,7.332299999999999,5.7284,13.317699999999999,-20.1988,117.3475,7.0739,-14.041599999999999,22.1188,-12.1769,-10.0496,7.0045,110.61769999999999,3.0956,10.9723,-14.178299999999998,7.3797,-15.1303,2.5143,92.2338,241.65731111111108,106.62346235472502,278.8580289506366,0.3076766726206344
17,Nb8V8W48,444.29799999999994,193.1609,197.4499,1.9512,13.9744,2.6719,193.5665,433.92510000000004,206.93380000000002,15.036600000000002,-5.7755,-9.0467,196.3646,206.29090000000002,433.52650000000006,-12.6217,-6.2134,5.8811,5.233,14.120500000000002,-13.2929,132.2363,9.6984,-0.7402,12.2903,-3.9539,-6.0628,9.0704,123.6233,3.0149,2.4313,-8.2419,5.5847,-3.8805,3.3338,115.2252,278.5376444444445,121.80906535626579,318.93531968636194,0.3091608524929713
18,Ta16Mo24W24,427.51800000000003,186.9121,188.6658,0.7045,17.3147,2.2296,186.2396,414.7414,197.3724,13.0137,-7.9629,-10.4275,187.3791,196.7894,413.8433,-14.188399999999998,-7.6342,4.1523,1.31,11.7897,-14.467699999999999,125.71220000000001,7.302,-5.2643,16.369999999999997,-7.448,-7.2814,6.5602,116.397,2.9114,2.0923,-10.1678,3.6904000000000003,-5.8046999999999995,1.6138000000000001,113.5898,266.88925555555556,116.6603164974459,305.47245892588427,0.30923894301526295
19,Ta16Nb24Mo24,295.0473,166.0811,171.6003,4.7755,22.6002,5.749499999999999,163.4426,288.9837,181.50799999999998,11.7701,-10.5193,-13.8363,169.9232,183.3946,276.8791,-18.0026,-7.472799999999999,5.806900000000001,4.292199999999999,11.6973,-18.072499999999998,64.1283,5.601100000000001,-9.9718,24.2202,-11.647400000000001,-7.4158,5.3138,55.017700000000005,-1.6553999999999998,6.9848,-14.742099999999999,6.1058,-10.6434,-0.9842000000000001,49.7996,211.03209999999999,56.56963782782154,155.7885917083308,0.3769629583142952
20,Ta16Nb24V24,235.5634,148.3912,151.18810000000002,0.9208999999999999,10.9822,1.5128,149.6991,238.01239999999999,154.2624,8.3786,-5.8065,-2.1424,151.5737,154.61700000000002,229.8964,-10.636700000000001,-6.9923,-0.3949,1.121,8.549299999999999,-10.082899999999999,45.3602,2.5949,-6.592700000000001,11.5751,-4.93,-7.2326,2.3681,44.3217,2.5762,1.2846,-0.6681,0.0421,-7.0732,1.9448,38.7687,179.01728888888888,42.32796680178439,117.70679062308531,0.3904139451617038
21,Ta16Nb24W24,318.7137,180.27270000000001,182.3247,-1.2892,12.0616,4.8595,179.6817,307.9797,189.1513,14.0428,-4.093500000000001,-8.462,182.3536,189.4664,300.6584,-8.9231,-2.2206,5.0628,-0.8044,12.872800000000002,-9.761,71.7893,6.443099999999999,-6.7871,14.3047,-5.6124,-1.8052,3.6444,62.262800000000006,6.6218,3.9747999999999997,-6.2394,4.9363,-5.3942,2.489,65.5559,225.64991111111112,64.93284567115872,177.74890719491836,0.3687133634578198
22,Ta16V24Mo24,317.37620000000004,166.0249,165.95499999999998,0.6832,19.7626,3.2953,163.04590000000002,297.63980000000004,180.9081,16.438499999999998,-8.2239,-10.3256,166.6764,180.6417,292.0158,-15.7828,-9.7545,5.5626,3.5752,13.7494,-13.580099999999998,66.578,9.4271,-9.5519,20.5642,-8.3655,-8.8835,9.125499999999999,65.6849,1.3349,1.8846,-10.1538,5.2673000000000005,-9.4145,1.5364,64.0749,214.75642222222223,65.54370378814072,178.47431252409558,0.3614909000335453
23,Ta16V24W24,327.5795,175.9194,181.8659,-2.9078,12.1053,11.159600000000001,177.4807,328.7441,177.9885,6.63,-6.968999999999999,-5.4033,182.8941,179.246,323.66729999999995,-7.1771,-6.6652000000000005,-0.4241,-4.7869,9.351600000000001,-7.1786,73.3643,3.3327,-8.4708,11.473600000000001,-7.964499999999999,-6.983499999999999,4.6142,72.7516,-0.2767,11.024,-4.9501,-1.5351000000000001,-8.2164,-0.4208,66.3237,227.9487222222222,72.08525840324162,195.6337281295354,0.35696071889740155
