,formula,C_11,C_12,C_13,C_14,C_15,C_16,C_21,C_22,C_23,C_24,C_25,C_26,C_31,C_32,C_33,C_34,C_35,C_36,C_41,C_42,C_43,C_44,C_45,C_46,C_51,C_52,C_53,C_54,C_55,C_56,C_61,C_62,C_63,C_64,C_65,C_66,K,G,E,v
47,Ta18Nb42,251.4119,141.6257,150.5574,-0.5084,0.3015,-0.6813,141.4865,260.1174,149.7939,-0.1224,-0.0334,0.020200000000000003,148.007,148.7107,259.2255,0.3574,-0.6980999999999999,0.5968,-0.6285000000000001,0.2871,0.3789,30.860599999999998,-0.40940000000000004,-0.2745,-0.24860000000000002,0.0523,0.1089,-0.43710000000000004,31.1197,0.21600000000000003,-0.5465,-0.36619999999999997,0.284,-0.172,0.2537,40.4101,183.85653333333332,41.295137783357625,115.25635365465733,0.3955196645585096
48,Ta24Nb36,254.2391,141.5639,151.003,-0.3657,-0.1246,0.11399999999999999,141.15550000000002,264.96729999999997,150.4419,0.15209999999999999,0.6189,0.2762,148.8509,149.3204,263.0742,0.3368,-0.3607,-0.44770000000000004,-0.0991,0.23769999999999997,0.074,35.6516,-0.8484999999999999,-0.5873,0.1265,0.4131,0.1716,0.0986,35.3932,0.0898,0.2834,0.3376,-0.0126,-0.1449,0.065,45.0886,185.36646666666664,45.072372587494584,125.0793225600139,0.3875387003114786
49,Ta30Nb30,256.8951,142.5885,152.8471,-0.43529999999999996,0.3269,-0.2085,142.0867,267.1222,151.5745,0.0007,0.0035000000000000005,-0.08,150.8621,150.1365,265.4945,0.2077,-0.6298,-0.0097,-0.5345,-0.1339,0.2096,43.6625,0.2543,-0.5181,-0.053500000000000006,-0.1976,0.1401,0.0235,44.498000000000005,0.032600000000000004,-0.12090000000000001,0.062,-0.4162,-0.2712,0.059,49.070800000000006,187.0591111111111,49.98604832168244,137.69331479777807,0.3773174657822559
50,Nb24Ta36,260.3703,143.6356,154.1534,0.6458999999999999,0.3109,0.1543,143.0183,272.2124,151.2585,-0.0766,0.7303,0.307,152.52349999999998,150.46620000000001,269.5527,0.1822,-0.352,-0.3001,0.8679,-0.1032,0.1822,46.8366,-0.0335,-0.6468,-0.16299999999999998,0.3409,0.38170000000000004,0.0157,47.339999999999996,-0.1646,0.1463,0.2604,-0.046,-0.2104,-0.0045,53.065999999999995,188.91448888888885,52.779352370088475,144.84867487441582,0.37220966504797015
51,Nb18Ta42,262.5399,145.0915,155.9479,0.0288,-0.0633,-0.4726,145.11489999999998,273.6314,152.0494,0.0149,0.0082,-0.7003,154.4976,150.4749,272.3256,0.16899999999999998,-0.2358,0.9175000000000001,0.039,-0.2109,0.1113,52.797900000000006,0.5642,-0.22820000000000001,-0.1659,-0.0625,0.1407,0.0629,52.673500000000004,-0.1292,-0.20870000000000002,-0.4608,0.3987,0.1116,-0.3345,56.90560000000001,190.5193888888889,56.1145052412009,153.2934529788272,0.3658986417140741
52,Nb15Ta45,259.5822,145.5108,157.6201,-1.2631000000000001,0.0932,0.1683,144.2726,273.4422,153.6757,0.0634,-0.1263,0.11379999999999998,156.9475,154.053,262.7738,-0.6361,-0.2804,0.013800000000000002,-1.7561,0.3964,-0.5997,54.3458,-0.2566,0.0748,0.0207,-0.0666,-0.1313,-0.1236,57.9404,0.3633,-0.0758,-0.10669999999999999,0.4366,0.0036,0.0424,55.4858,189.93459999999996,56.15313588248968,153.34730733185265,0.36543850064543915
53,Nb12Ta48,261.31260000000003,147.7942,158.5022,1.5205,0.1293,0.11950000000000001,147.0672,274.6381,154.25799999999998,-0.1407,0.3619,0.182,157.4125,154.1843,266.79609999999997,1.2287000000000001,-0.046700000000000005,-0.0427,2.1239999999999997,-0.31110000000000004,0.5899,56.945100000000004,-0.033100000000000004,-0.0438,0.16060000000000002,0.28450000000000003,0.1595,0.0091,60.419399999999996,-0.3748,0.0937,0.094,0.07289999999999999,0.0311,0.3209,57.65560000000001,191.5395111111111,57.81327977738649,157.5849665253425,0.3628786252235896
54,Nb6Ta54,261.2971,150.6859,160.551,0.0001,-0.1397,0.00030000000000000003,149.7355,272.693,156.31189999999998,-0.0001,-0.1011,-0.0,160.46890000000002,157.16199999999998,260.3995,-0.0007,0.0329,0.0002,0.0108,0.0001,-0.00030000000000000003,61.6145,0.0027,0.0723,-0.43920000000000003,-0.3629,-0.3705,0.0,66.41319999999999,-0.00030000000000000003,-0.353,-0.23370000000000002,-0.2609,0.0512,0.0017000000000000001,62.1331,192.16524444444443,59.65727762938269,162.188178423808,0.3593327157115056
55,V6Nb54,240.7742,145.0756,143.7396,-0.0468,-1.6504999999999999,-0.012,121.2483,277.7715,136.6118,0.0754,1.0448,0.0685,153.6115,105.83040000000001,262.3929,-0.0938,-4.9333,-0.0774,-0.9747999999999999,16.7268,-3.7319000000000004,8.1099,0.8901999999999999,-0.0591,-9.1583,35.8814,-26.329,-0.013900000000000001,19.0933,-0.0246,5.705,-26.0049,17.9269,0.3721,-2.6983,24.9772,181.31028888888886,29.190653938400672,83.1116811589188,0.4236008781150385
56,V12Nb48,236.33980000000003,129.9574,145.2224,-2.5444,0.5319,0.23370000000000002,131.13240000000002,240.3019,147.5022,3.122,-0.10089999999999999,-0.0669,140.8917,145.86169999999998,235.6196,3.5460000000000003,0.1917,-0.0043,-1.4926,1.6475000000000002,1.5513,13.035300000000001,0.1673,0.010100000000000001,0.5097,-0.45289999999999997,0.3265,0.1993,13.8492,-0.44349999999999995,-0.16799999999999998,-0.2028,0.1953,0.20190000000000002,2.6938,20.996100000000002,173.0694777777778,25.338365784384273,72.4780306676256,0.4302033383757709
57,V15Nb45,233.53629999999998,132.6509,142.7683,0.9417,-0.3198,0.2605,138.752,217.47930000000002,155.04829999999998,0.051500000000000004,2.2852,-1.5076,140.42940000000002,143.0241,233.91039999999998,-1.7190999999999999,-0.1928,0.6249,0.7452,-1.46,-1.5539999999999998,13.2791,-0.4074,0.0759,0.8558999999999999,-1.1488,0.7433,-0.45410000000000006,12.7225,-0.5594,-0.5655,-0.019700000000000002,0.4248,0.2561,-1.9684000000000001,19.5974,171.76233333333334,23.265472673394154,66.78121200304449,0.4351999836954508
58,V18Nb42,230.88580000000002,163.5095,115.3414,-2.7443999999999997,3.5293,-0.44820000000000004,132.2414,224.5809,149.7356,2.487,-1.1611,1.3,132.3725,157.9409,221.6862,-0.11639999999999999,1.3639,-0.4271,-2.4316,1.177,0.27440000000000003,11.731399999999999,0.9029,2.4793,0.1937,-0.6455,0.0836,0.5252,15.342500000000001,1.7643,1.0849,-2.1249,1.7573,2.0251,-0.22480000000000003,16.7943,170.48065555555556,22.53675730931176,64.75675694383455,0.4366919795750357
59,V24Nb36,231.7092,141.7779,131.2705,-1.7901,-0.9122,-1.0204,134.7205,229.17829999999998,145.777,1.1442999999999999,0.2738,-0.3409,132.342,146.4853,232.2081,0.8099999999999999,1.4521000000000002,0.6386000000000001,-1.8102,2.5505,0.6851,15.9481,0.10880000000000001,0.9688000000000001,-0.6822,-0.5193,1.0224,-0.288,12.3034,-0.6125,0.0792,-2.0699,1.6656,0.2559,-0.4282,19.0766,170.08293333333333,24.562822885459575,70.30410540237551,0.4311080149503776
60,V30Nb30,233.33229999999998,133.3248,135.1591,-4.378,5.0844000000000005,-1.1312,132.244,236.3471,139.74970000000002,1.7535,-1.9903,0.3605,133.2076,137.2621,236.9895,2.8005,1.5523,-2.9,-4.856199999999999,0.9154,2.6692,13.3796,2.0858,1.4670999999999998,3.0439,-3.9595,2.9170000000000003,1.3178,7.379900000000001,6.29,0.2915,1.3674,-3.0893,1.23,4.9813,18.2883,169.23734444444446,23.088060048073995,66.25141588458702,0.4347549284486918
61,Nb24V36,235.5963,140.1928,131.8158,0.26,3.5743,-0.1499,134.478,224.294,145.207,0.055200000000000006,-4.8829,0.5117,132.839,143.4376,236.31529999999998,0.037,3.8244,-0.40149999999999997,1.3157999999999999,0.0014,0.1457,15.195599999999999,-0.1785,1.4129,2.3242000000000003,-3.2428,2.7258,-0.1767,10.369499999999999,-1.9268,2.0303999999999998,-2.2489,0.32189999999999996,1.6822,-3.5906999999999996,14.608,170.07075555555556,22.67877177307407,65.14082645545137,0.436163014189142
62,Nb18V42,239.473,131.1308,136.4175,-5.2696,-0.2644,-0.1403,130.7142,242.2261,139.85930000000002,2.0552,-0.9183,-0.44889999999999997,133.8336,137.7128,241.3032,3.2924999999999995,-0.9151,1.0704,-5.9527,3.1454999999999997,3.0265999999999997,16.0535,0.20729999999999998,-0.35150000000000003,0.6933,-1.7388000000000001,-0.2223,0.42610000000000003,15.197,2.5518,-1.0391,0.48810000000000003,1.2215,-0.10329999999999999,1.9710999999999999,14.6478,170.86861111111114,25.788433049193102,73.65959505306242,0.42815181737781394
