Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2896785556E+03    0.2881983770E+03    0.1480178594E+01
    0.1894734000E+03    0.1866191540E+03    0.2854246027E+01
    0.1935410889E+03    0.1913200716E+03    0.2221017281E+01
    0.2416573111E+03    0.2428572071E+03   -0.1199896035E+01
    0.2785376444E+03    0.2751867907E+03    0.3350853741E+01
    0.2668892556E+03    0.2677044219E+03   -0.8151663578E+00
    0.2110321000E+03    0.2148364218E+03   -0.3804321772E+01
    0.1790172889E+03    0.1805796674E+03   -0.1562378492E+01
    0.2256499111E+03    0.2303570982E+03   -0.4707187120E+01
    0.2147564222E+03    0.2161801394E+03   -0.1423717135E+01
    0.2279487222E+03    0.2312618846E+03   -0.3313162422E+01
    0.2568662444E+03    0.2582833847E+03   -0.1417140206E+01
    0.2505142889E+03    0.2529703334E+03   -0.2456044548E+01
    0.2144034778E+03    0.2175556887E+03   -0.3152210923E+01
    0.1817765778E+03    0.1830012979E+03   -0.1224720098E+01
    0.2281654778E+03    0.2330375314E+03   -0.4872053585E+01
    0.2011406222E+03    0.2059786803E+03   -0.4838058127E+01
    0.1819319111E+03    0.1828619238E+03   -0.9300126763E+00
    0.2107032667E+03    0.2161391138E+03   -0.5435847152E+01
    0.2151194444E+03    0.2185225200E+03   -0.3403075532E+01
    0.2290660778E+03    0.2337050384E+03   -0.4638960587E+01
    0.2044317667E+03    0.2070935821E+03   -0.2661815427E+01
    0.2137194444E+03    0.2169558954E+03   -0.3236450944E+01
    0.2164706222E+03    0.2179633076E+03   -0.1492685395E+01
    0.2003932667E+03    0.2009784814E+03   -0.5852147699E+00
    0.1893699333E+03    0.1888868519E+03    0.4830814783E+00
    0.2062119333E+03    0.2059552422E+03    0.2566911089E+00
    0.2000597778E+03    0.2007159309E+03   -0.6561530726E+00
    0.2051309444E+03    0.2056353043E+03   -0.5043598864E+00
    0.2630736333E+03    0.2660075346E+03   -0.2933901305E+01
    0.2928621333E+03    0.2934693885E+03   -0.6072551577E+00
    0.1871043000E+03    0.1897799473E+03   -0.2675647309E+01
    0.1764319667E+03    0.1781695316E+03   -0.1737564960E+01
    0.1914784222E+03    0.1947916350E+03   -0.3313212733E+01
    0.2456214556E+03    0.2465024237E+03   -0.8809681905E+00
    0.1790136222E+03    0.1780906171E+03    0.9230051112E+00
    0.2811406222E+03    0.2790217774E+03    0.2118844784E+01
    0.1923749111E+03    0.1914144452E+03    0.9604659472E+00
    0.1980689000E+03    0.1960845250E+03    0.1984375027E+01
    0.2452193667E+03    0.2481554398E+03   -0.2936073160E+01
    0.2834870333E+03    0.2803282987E+03    0.3158734586E+01
    0.2641083000E+03    0.2620543412E+03    0.2053958838E+01
    0.2534758778E+03    0.2502281495E+03    0.3247728257E+01
    0.2469492333E+03    0.2449978391E+03    0.1951394254E+01
    0.2098778222E+03    0.2059069536E+03    0.3970868575E+01
    0.2611882111E+03    0.2633157707E+03   -0.2127559600E+01
    0.2922040889E+03    0.2906059076E+03    0.1598181264E+01
    0.1845425556E+03    0.1825802515E+03    0.1962304089E+01
    0.1898993111E+03    0.1913153325E+03   -0.1416021383E+01
    0.1952178111E+03    0.1957175283E+03   -0.4997172281E+00
    0.2016502556E+03    0.2001431955E+03    0.1507060009E+01
    0.2105854111E+03    0.2090660767E+03    0.1519334376E+01
    0.2213828000E+03    0.2180862920E+03    0.3296507966E+01
    0.2304738556E+03    0.2272062410E+03    0.3267614515E+01
    0.2402382000E+03    0.2364284110E+03    0.3809789030E+01
    0.2422979556E+03    0.2410786310E+03    0.1219324527E+01
    0.2458938778E+03    0.2457553809E+03    0.1384968969E+00
    0.2572186333E+03    0.2551898262E+03    0.2028807179E+01
    0.2082812222E+03    0.2002583593E+03    0.8022862881E+01
    0.2124671556E+03    0.2086021837E+03    0.3864971837E+01
    0.2147394667E+03    0.2127005856E+03    0.2038881074E+01
    0.2172658444E+03    0.2167494921E+03    0.5163523592E+00
    0.2253844556E+03    0.2246973115E+03    0.6871440602E+00
    0.2347459556E+03    0.2324425539E+03    0.2303401657E+01
    0.2431637556E+03    0.2399820092E+03    0.3181746324E+01
    0.2513636333E+03    0.2473123379E+03    0.4051295386E+01
    0.2534225000E+03    0.2508979988E+03    0.2524501163E+01
    0.2547179556E+03    0.2544300629E+03    0.2878926154E+00
    0.2631218000E+03    0.2613315608E+03    0.1790239223E+01
    0.1924218778E+03    0.1881254575E+03    0.4296420299E+01
    0.1983598444E+03    0.1966758811E+03    0.1683963334E+01
    0.2024171778E+03    0.2009954971E+03    0.1421680653E+01
    0.2065748778E+03    0.2053444677E+03    0.1230410121E+01
    0.2156308111E+03    0.2141297472E+03    0.1501063866E+01
    0.2237516111E+03    0.2230303014E+03    0.7213097371E+00
    0.2350597111E+03    0.2320447601E+03    0.3014950979E+01
    0.2445528889E+03    0.2411717996E+03    0.3381089282E+01
    0.2477960889E+03    0.2457771354E+03    0.2018953519E+01
    0.2505340222E+03    0.2504101395E+03    0.1238827519E+00
    0.2601386889E+03    0.2597585407E+03    0.3801481566E+00
    0.3058445778E+03    0.3107657598E+03   -0.4921181990E+01
    0.3013589222E+03    0.3061701375E+03   -0.4811215318E+01
    0.2990407000E+03    0.3038852153E+03   -0.4844515255E+01
    0.2966810000E+03    0.3016090399E+03   -0.4928039896E+01
    0.2926131333E+03    0.2970834236E+03   -0.4470290316E+01
    0.2877935333E+03    0.2925943321E+03   -0.4800798788E+01
    0.2843988222E+03    0.2881429060E+03   -0.3744083731E+01
    0.2820282667E+03    0.2837303956E+03   -0.1702128931E+01
    0.2803237333E+03    0.2815391582E+03   -0.1215424825E+01
    0.2792287556E+03    0.2793581758E+03   -0.1294202402E+00
    0.2744485778E+03    0.2750277624E+03   -0.5791846381E+00
    0.1886036444E+03    0.1809903902E+03    0.7613254268E+01
    0.1870368222E+03    0.1826247288E+03    0.4412093405E+01
    0.1870242778E+03    0.1834185456E+03    0.3605732166E+01
    0.1838565333E+03    0.1841969035E+03   -0.3403701723E+00
    0.1853664667E+03    0.1857075660E+03   -0.3410993768E+00
    0.1870591111E+03    0.1871573554E+03   -0.9824424018E-01
