Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1150665667E+03    0.1013758543E+03    0.1369071241E+02
    0.1240794333E+03    0.1111601712E+03    0.1291926216E+02
    0.6961473333E+02    0.4991244817E+02    0.1970228517E+02
    0.6873096667E+02    0.5896556674E+02    0.9765399931E+01
    0.6801640000E+02    0.6336279575E+02    0.4653604246E+01
    0.6587150000E+02    0.6767705819E+02   -0.1805558188E+01
    0.6905330000E+02    0.7606590181E+02   -0.7012601808E+01
    0.7560066667E+02    0.8414969657E+02   -0.8549029903E+01
    0.8448030000E+02    0.9194478438E+02   -0.7464484376E+01
    0.9811226667E+02    0.9946636033E+02   -0.1354093662E+01
    0.1105675667E+03    0.1031290408E+03    0.7438525874E+01
    0.1186644000E+03    0.1067285716E+03    0.1193582841E+02
    0.1239530333E+03    0.1137446062E+03    0.1020842713E+02
    0.1662153333E+02    0.1149505512E+02    0.5126478212E+01
    0.2838256667E+02    0.2720349003E+02    0.1179076638E+01
    0.2881536667E+02    0.3462760263E+02   -0.5812235967E+01
    0.3478613333E+02    0.4178585636E+02   -0.6999723023E+01
    0.4475480000E+02    0.5536065485E+02   -0.1060585485E+02
    0.5756113333E+02    0.6802994899E+02   -0.1046881566E+02
    0.6879203333E+02    0.7988217986E+02   -0.1109014653E+02
    0.8769866667E+02    0.9099441183E+02   -0.3295745167E+01
    0.9953940000E+02    0.9629445234E+02    0.3244947661E+01
    0.1128509667E+03    0.1014341408E+03    0.1141682590E+02
    0.1218290333E+03    0.1112607622E+03    0.1056827112E+02
Prediction RMSE and MaxAE:         8.2043311320       19.7022851656
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1129134333E+03    0.1044043770E+03    0.8509056331E+01
    0.5741510000E+02    0.5471750272E+02    0.2697597282E+01
    0.6408266667E+02    0.6919303706E+02   -0.5110370397E+01
    0.9851213333E+02    0.9286636602E+02    0.5645767314E+01
    0.9577526667E+02    0.8820244358E+02    0.7572823084E+01
    0.5629570000E+02    0.5552048557E+02    0.7752144277E+00
    0.6416440000E+02    0.6965201096E+02   -0.5487610958E+01
    0.4909853333E+02    0.4383629526E+02    0.5262238072E+01
    0.5078230000E+02    0.5330885869E+02   -0.2526558691E+01
