Predictions (y,pred,y-pred) by the model of dimension:     1
    0.6092121335E+02    0.7277816133E+02   -0.1185694799E+02
    0.8402862800E+02    0.8416722445E+02   -0.1385964457E+00
    0.1020479867E+03    0.9626229490E+02    0.5785691786E+01
    0.1047424560E+03    0.1090949972E+03   -0.4352541271E+01
    0.1134858481E+03    0.1157981050E+03   -0.2312256936E+01
    0.1282697765E+03    0.1226979162E+03    0.5571860273E+01
    0.1359182557E+03    0.1371046180E+03   -0.1186362285E+01
    0.6693454681E+02    0.6172128923E+02    0.5213257584E+01
    0.6809255274E+02    0.7014030885E+02   -0.2047756113E+01
    0.6904760257E+02    0.7449371643E+02   -0.5446113858E+01
    0.6988379938E+02    0.7894492524E+02   -0.9061125865E+01
    0.7595481374E+02    0.8814643247E+02   -0.1219161874E+02
    0.8630026423E+02    0.9775633409E+02   -0.1145606986E+02
    0.9652639442E+02    0.1077863480E+03   -0.1125995359E+02
    0.1104302259E+03    0.1182484115E+03   -0.7818185547E+01
    0.1236164255E+03    0.1236452535E+03   -0.2882799655E-01
    0.1322700957E+03    0.1291546863E+03    0.3115409356E+01
    0.1360948904E+03    0.1405175642E+03   -0.4422673727E+01
    0.3130959377E+02    0.3058335560E+02    0.7262381756E+00
    0.4308292970E+02    0.4098455619E+02    0.2098373517E+01
    0.4437180400E+02    0.4645179917E+02   -0.2079995176E+01
    0.5059350036E+02    0.5210144644E+02   -0.1507946084E+01
    0.6152011377E+02    0.6396200570E+02   -0.2441891930E+01
    0.7558678816E+02    0.7659454134E+02   -0.1007753179E+01
    0.8754089957E+02    0.9002768142E+02   -0.2486781849E+01
    0.1047380597E+03    0.1042903674E+03    0.4476923334E+00
    0.1165991300E+03    0.1117419183E+03    0.4857211701E+01
    0.1287812479E+03    0.1194118473E+03    0.9369400641E+01
    0.1352458823E+03    0.1354216686E+03   -0.1757862467E+00
Prediction RMSE and MaxAE:         7.1210692293       18.3360468063
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1119034582E+03    0.1043248294E+03    0.7578628784E+01
    0.5781486579E+02    0.5917922588E+02   -0.1364360090E+01
    0.6377679169E+02    0.6542759922E+02   -0.1650807528E+01
    0.9969179946E+02    0.9091882009E+02    0.8772979371E+01
    0.9817976135E+02    0.8851987496E+02    0.9659886385E+01
    0.5573694755E+02    0.5918750622E+02   -0.3450558666E+01
    0.6345732320E+02    0.6512973109E+02   -0.1672407886E+01
    0.4895849377E+02    0.4702196444E+02    0.1936529324E+01
    0.5114042588E+02    0.5041915484E+02    0.7212710381E+00
    0.4348442747E+02    0.4885603650E+02   -0.5371609021E+01
    0.3917125463E+02    0.3599926436E+02    0.3171990270E+01
    0.4077056391E+02    0.3702675754E+02    0.3743806366E+01
    0.1156620276E+03    0.1123535939E+03    0.3308433735E+01
    0.1322564577E+03    0.1265196621E+03    0.5736795564E+01
    0.4295367200E+02    0.3470994705E+02    0.8243724953E+01
    0.4050309916E+02    0.3628667980E+02    0.4216419354E+01
    0.1066234624E+03    0.9708887631E+02    0.9534586047E+01
    0.1218090654E+03    0.1134413148E+03    0.8367750529E+01
    0.1166603165E+03    0.1092077052E+03    0.7452611270E+01
    0.5656963783E+02    0.6572270769E+02   -0.9153069859E+01
    0.4232796680E+02    0.3221854283E+02    0.1010942397E+02
    0.6493284567E+02    0.7071246330E+02   -0.5779617632E+01
    0.6554370379E+02    0.6530844521E+02    0.2352585733E+00
    0.7208525840E+02    0.7121922600E+02    0.8660324077E+00
    0.9788397509E+02    0.9883001290E+02   -0.9460378025E+00
    0.9754851806E+02    0.9656874676E+02    0.9797713010E+00
    0.5888624772E+02    0.6898237806E+02   -0.1009613034E+02
    0.3852234119E+02    0.3616834666E+02    0.2353994530E+01
    0.6380085368E+02    0.7379899909E+02   -0.9998145412E+01
    0.4667560663E+02    0.5801172205E+02   -0.1133611542E+02
    0.4197241641E+02    0.3677215302E+02    0.5200263391E+01
    0.5677301169E+02    0.6039256077E+02   -0.3619549080E+01
    0.6496802097E+02    0.6857625959E+02   -0.3608238623E+01
    0.6979480419E+02    0.7400766958E+02   -0.4212865390E+01
    0.5481318806E+02    0.5701974943E+02   -0.2206561367E+01
    0.6029149555E+02    0.6003776642E+02    0.2537291253E+00
    0.6830351287E+02    0.6967944886E+02   -0.1375935984E+01
    0.6014871550E+02    0.5927723718E+02    0.8714783276E+00
    0.5341138887E+02    0.4980151857E+02    0.3609870299E+01
    0.6882396517E+02    0.5976354190E+02    0.9060423266E+01
    0.6068008934E+02    0.5860716670E+02    0.2072922639E+01
    0.6555221939E+02    0.5920345847E+02    0.6348760917E+01
    0.1166313876E+03    0.1146923470E+03    0.1939040611E+01
    0.1314904999E+03    0.1286761771E+03    0.2814322804E+01
    0.4292238571E+02    0.4008586816E+02    0.2836517548E+01
    0.3499053213E+02    0.2931939714E+02    0.5671134998E+01
    0.4434460389E+02    0.4093375007E+02    0.3410853825E+01
    0.1048738256E+03    0.9933507384E+02    0.5538751714E+01
    0.3601177755E+02    0.2700697379E+02    0.9004803758E+01
    0.1256431161E+03    0.1148971236E+03    0.1074599256E+02
    0.4500912398E+02    0.3812604650E+02    0.6883077483E+01
    0.4815536762E+02    0.3963336380E+02    0.8522003827E+01
    0.1038482190E+03    0.9960028201E+02    0.4247936985E+01
    0.1281946021E+03    0.1157098297E+03    0.1248477241E+02
    0.1112114300E+03    0.1055231038E+03    0.5688326137E+01
    0.9355975646E+02    0.9242978219E+02    0.1129974266E+01
    0.9368174085E+02    0.8974702471E+02    0.3934716147E+01
    0.5967295456E+02    0.4871153724E+02    0.1096141732E+02
    0.1165733788E+03    0.1128672486E+03    0.3706130137E+01
    0.1331123282E+03    0.1274710202E+03    0.5641307947E+01
    0.2632643497E+02    0.3418329470E+02   -0.7856859725E+01
    0.2911030054E+02    0.4299068548E+02   -0.1388038494E+02
    0.4146923460E+02    0.4754187965E+02   -0.6072645052E+01
    0.4958492797E+02    0.5218091962E+02   -0.2595991653E+01
    0.6671768541E+02    0.6169334004E+02    0.5024345371E+01
    0.7983276551E+02    0.7147304680E+02    0.8359718706E+01
    0.8885745041E+02    0.8147037468E+02    0.7387075734E+01
    0.9558693600E+02    0.9164042348E+02    0.3946512527E+01
    0.9586478718E+02    0.9677738485E+02   -0.9125976682E+00
    0.9672791808E+02    0.1019426349E+03   -0.5214716792E+01
    0.1025991163E+03    0.1123404102E+03   -0.9741293855E+01
    0.6056238656E+02    0.6228136801E+02   -0.1718981450E+01
    0.5877006947E+02    0.6637483100E+02   -0.7604761538E+01
    0.5965694308E+02    0.6875826993E+02   -0.9101326859E+01
    0.5640091467E+02    0.7134742845E+02   -0.1494651378E+02
    0.6447432788E+02    0.7709056146E+02   -0.1261623358E+02
    0.7910835546E+02    0.8350559869E+02   -0.4397243234E+01
    0.9311991210E+02    0.9050299476E+02    0.2616917341E+01
    0.9637614321E+02    0.9800149451E+02   -0.1625351307E+01
    0.9738927426E+02    0.1019153543E+03   -0.4526080088E+01
    0.9929422704E+02    0.1059274132E+03   -0.6633186185E+01
    0.1053096570E+03    0.1142139839E+03   -0.8904326909E+01
    0.2584017448E+02    0.3213763093E+02   -0.6297456446E+01
    0.4286544992E+02    0.4183549728E+02    0.1029952646E+01
    0.4572791662E+02    0.4676110769E+02   -0.1033191070E+01
    0.4914067848E+02    0.5172901177E+02   -0.2588333289E+01
    0.6067555305E+02    0.6176730983E+02   -0.1091756775E+01
    0.6733571392E+02    0.7190482870E+02   -0.4569114780E+01
    0.8475483777E+02    0.8210083216E+02    0.2654005613E+01
    0.9094232811E+02    0.9231897860E+02   -0.1376650493E+01
    0.9342154533E+02    0.9742610286E+02   -0.4004557523E+01
    0.9610191643E+02    0.1025269279E+03   -0.6425011467E+01
    0.1039844407E+03    0.1126959832E+03   -0.8711542484E+01
    0.1371480612E+03    0.1441818873E+03   -0.7033826131E+01
    0.1366336255E+03    0.1416529021E+03   -0.5019276610E+01
    0.1367350903E+03    0.1404021714E+03   -0.3667081109E+01
    0.1362592133E+03    0.1391607141E+03   -0.2901500884E+01
    0.1344648149E+03    0.1367059286E+03   -0.2241113613E+01
    0.1317766937E+03    0.1342891829E+03   -0.2512489191E+01
    0.1287616307E+03    0.1319111481E+03   -0.3149517399E+01
    0.1271803418E+03    0.1295725294E+03   -0.2392187594E+01
    0.1262177758E+03    0.1284182312E+03   -0.2200455386E+01
    0.1252984708E+03    0.1272740678E+03   -0.1975596940E+01
    0.1228725759E+03    0.1250165409E+03   -0.2143964975E+01
    0.2683497468E+02    0.2906041547E+02   -0.2225440795E+01
    0.3183535065E+02    0.3231715302E+02   -0.4818023636E+00
    0.3359039622E+02    0.3395385230E+02   -0.3634560788E+00
    0.4129513778E+02    0.3559613482E+02    0.5699002960E+01
    0.4507237259E+02    0.3889753787E+02    0.6174834716E+01
    0.4998604832E+02    0.4222153818E+02    0.7764510138E+01
    0.5277935237E+02    0.4556831077E+02    0.7211041597E+01
    0.5611450524E+02    0.4893802958E+02    0.7176475664E+01
    0.5615313588E+02    0.5063154786E+02    0.5521588026E+01
    0.5781327978E+02    0.5233086740E+02    0.5482412378E+01
    0.5965727763E+02    0.5574699584E+02    0.3910281784E+01
    0.2919065394E+02    0.2542520696E+02    0.3765446983E+01
    0.2533836578E+02    0.2504401061E+02    0.2943551786E+00
    0.2326547267E+02    0.2486066906E+02   -0.1595196391E+01
    0.2253675731E+02    0.2468216725E+02   -0.2145409940E+01
    0.2456282289E+02    0.2433968862E+02    0.2231342662E+00
    0.2308806005E+02    0.2401658620E+02   -0.9285261559E+00
    0.2267877177E+02    0.2371287125E+02   -0.1034099481E+01
    0.2578843305E+02    0.2342855478E+02    0.2359878270E+01
    0.2337586858E+02    0.2329367435E+02    0.8219422785E-01
    0.2299003363E+02    0.2316364756E+02   -0.1736139239E+00
    0.2450184071E+02    0.2291816012E+02    0.1583680586E+01
    0.5835275562E+02    0.5502756442E+02    0.3325191206E+01
    0.5348496578E+02    0.5098179967E+02    0.2503166113E+01
    0.5034060812E+02    0.4900140063E+02    0.1339207489E+01
    0.4661720364E+02    0.4704932717E+02   -0.4321235337E+00
    0.4446999058E+02    0.4323015765E+02    0.1239832922E+01
    0.3957606325E+02    0.3952427722E+02    0.5178603269E-01
    0.3452159350E+02    0.3593164817E+02   -0.1410054675E+01
    0.3332059993E+02    0.3245220981E+02    0.8683901214E+00
    0.2705301994E+02    0.3075491206E+02   -0.3701892120E+01
    0.2419926750E+02    0.2908587919E+02   -0.4886611681E+01
    0.2604492204E+02    0.2583255190E+02    0.2123701486E+00
    0.2880918270E+02    0.3483629123E+02   -0.6027108525E+01
    0.3504358803E+02    0.4491739497E+02   -0.9873806938E+01
    0.4256436714E+02    0.5030363900E+02   -0.7739271861E+01
    0.4875284720E+02    0.5589320677E+02   -0.7140359570E+01
    0.6092121335E+02    0.6760804419E+02   -0.6686830842E+01
    0.8402862800E+02    0.7992425939E+02    0.4104368607E+01
    0.1020479867E+03    0.9272033595E+02    0.9327650735E+01
    0.1047424560E+03    0.1058891874E+03   -0.1146731436E+01
    0.1134858481E+03    0.1125835068E+03    0.9023412315E+00
    0.1282697765E+03    0.1193366346E+03    0.8933141837E+01
    0.1359182557E+03    0.1329800422E+03    0.2938213507E+01
    0.6693454681E+02    0.6250836995E+02    0.4426176861E+01
